idVenta,Cliente,Genero,Edad,Producto,Categoria,Region,Cantidad,PrecioUnitario,Total,Fecha
1,Cliente_F_7,F,29,Producto_259,Categoria_81,Region_42,5,132.78,663.9,2025-04-12
2,Cliente_F_7,F,21,Producto_246,Categoria_25,Region_41,2,112.95,225.9,2025-04-17
3,Cliente_F_7,F,30,Producto_259,Categoria_42,Region_9,3,70.34,211.02,2025-12-05
4,Cliente_F_7,F,29,Producto_55,Categoria_79,Region_29,2,47.47,94.94,2025-08-20
5,Cliente_F_7,F,23,Producto_290,Categoria_6,Region_42,1,148.23,148.23,2025-01-22
6,Cliente_F_7,F,57,Producto_88,Categoria_82,Region_13,5,90.33,451.65,2025-09-09
7,Cliente_F_7,F,25,Producto_276,Categoria_26,Region_38,3,135.54,406.62,2025-12-11
8,Cliente_F_7,F,35,Producto_131,Categoria_81,Region_32,3,70.7,212.1,2025-03-24
9,Cliente_F_7,F,28,Producto_246,Categoria_9,,3,111.68,335.04,2025-04-13
10,Cliente_F_7,F,26,Producto_202,Categoria_88,Region_32,2,45.97,91.94,2025-10-03
11,Cliente_M_35,M,22,Producto_108,Categoria_75,Region_33,2,177.06,354.12,2025-11-18
12,Cliente_M_35,M,15,Producto_117,Categoria_91,Region_39,4,88.13,352.52,2025-11-23
13,Cliente_M_35,M,46,Producto_13,Categoria_44,Region_22,2,192.07,384.14,2025-09-07
14,Cliente_M_35,M,34,Producto_34,Categoria_69,Region_20,2,140.97,281.94,2025-04-17
15,Cliente_M_35,M,47,Producto_217,Categoria_23,Region_21,4,196.19,784.76,2025-08-18
16,Cliente_M_35,M,38,Producto_13,Categoria_82,Region_22,2,84.4,168.8,2025-09-11
17,Cliente_M_35,M,43,Producto_109,Categoria_80,Region_45,4,196.96,787.84,2025-02-11
18,Cliente_M_35,M,19,Producto_108,Categoria_33,Region_16,1,92.26,92.26,2025-03-10
19,Cliente_M_35,M,26,Producto_117,Categoria_28,Region_31,2,155.29,310.58,2025-08-17
20,Cliente_M_35,M,46,Producto_255,Categoria_95,Region_31,3,119.48,358.44,2025-12-03
21,Cliente_M_12,M,58,Producto_38,Categoria_19,Region_29,4,31.44,125.76,2025-12-18
22,Cliente_M_12,M,44,Producto_122,Categoria_22,Region_6,5,116.01,580.05,2025-09-15
23,Cliente_M_12,M,27,Producto_298,Categoria_88,Region_17,3,158.06,474.18,2025-10-22
24,Cliente_M_12,M,21,Producto_59,Categoria_2,Region_5,3,185.14,555.42,2025-06-12
25,Cliente_M_12,M,69,Producto_265,Categoria_51,Region_16,3,34.2,102.6,2025-11-13
26,Cliente_M_12,M,35,Producto_217,Categoria_63,Region_3,3,173.18,519.54,2025-10-01
27,Cliente_M_12,M,19,Producto_217,Categoria_51,Region_13,1,160.83,160.83,2025-02-08
28,Cliente_M_12,M,36,Producto_105,Categoria_45,Region_47,5,171.03,855.15,2025-02-20
29,Cliente_M_12,M,46,Producto_297,Categoria_83,Region_45,2,43.27,86.54,2025-10-14
30,Cliente_M_12,M,25,Producto_298,Categoria_36,Region_33,3,173.9,521.7,2025-12-01
31,Cliente_M_99,M,44,Producto_275,Categoria_77,Region_40,1,42.74,42.74,2025-12-07
32,Cliente_M_99,M,56,Producto_295,Categoria_37,,3,115.98,347.94,2025-08-18
33,Cliente_M_99,M,65,Producto_40,Categoria_61,Region_16,2,160.01,320.02,2025-08-13
34,Cliente_M_99,M,60,Producto_174,Categoria_98,Region_35,4,91.12,364.48,2025-04-24
35,Cliente_M_99,M,37,Producto_56,Categoria_57,Region_44,3,140.4,421.2,2025-11-06
36,Cliente_M_99,M,28,Producto_237,Categoria_93,Region_8,2,44.98,89.96,2025-05-14
37,Cliente_M_99,M,19,Producto_174,Categoria_37,Region_22,3,45.22,135.66,2025-09-26
38,Cliente_M_99,M,63,Producto_135,Categoria_73,Region_48,2,76.86,153.72,2025-12-03
39,Cliente_M_99,M,31,Producto_40,Categoria_34,Region_15,1,179.66,179.66,2025-02-15
